"@timestamp","agent.version","source.ip","event.code"
"May 23, 2025 @ 17:41:17.900","9.0.1","-",4672
"May 23, 2025 @ 17:36:52.493","9.0.1","-",4672
"May 23, 2025 @ 17:23:10.401","9.0.1","-",4672
"May 23, 2025 @ 17:22:37.001","9.0.1","-",4672
"May 23, 2025 @ 17:16:41.657","9.0.1","-",4672
"May 23, 2025 @ 17:11:23.322","9.0.1","-",4672
"May 23, 2025 @ 17:10:59.888","9.0.1","-",4672
"May 23, 2025 @ 17:10:59.888","9.0.1","-",4672
"May 23, 2025 @ 17:10:41.030","9.0.1","-",4672
"May 23, 2025 @ 17:07:58.117","9.0.1","-",4672
"May 23, 2025 @ 17:03:45.772","9.0.1","-",4672
"May 23, 2025 @ 17:03:45.772","9.0.1","-",4672
"May 23, 2025 @ 17:03:41.299","9.0.1","-",4672
"May 23, 2025 @ 17:01:22.967","9.0.1","-",4672
"May 23, 2025 @ 17:01:22.967","9.0.1","-",4672
"May 23, 2025 @ 17:01:21.256","9.0.1","-",4672
"May 23, 2025 @ 17:01:21.256","9.0.1","-",4672
"May 23, 2025 @ 17:00:44.127","9.0.1","-",4672
"May 23, 2025 @ 17:00:44.127","9.0.1","-",4672
"May 23, 2025 @ 17:00:28.245","9.0.1","-",4672
"May 23, 2025 @ 17:00:28.245","9.0.1","-",4672
"May 23, 2025 @ 17:00:25.873","9.0.1","-",4672
"May 23, 2025 @ 16:57:45.951","9.0.1","-",4672
"May 23, 2025 @ 16:54:46.039","9.0.1","-",4672
"May 23, 2025 @ 16:52:41.772","9.0.1","-",4672
"May 23, 2025 @ 16:52:41.566","9.0.1","-",4672
"May 23, 2025 @ 16:45:55.565","9.0.1","-",4672
"May 23, 2025 @ 16:45:55.565","9.0.1","-",4672
"May 23, 2025 @ 16:45:21.247","9.0.1","-",4672
"May 23, 2025 @ 16:45:21.247","9.0.1","-",4672
"May 23, 2025 @ 16:45:09.546","9.0.1","-",4672
"May 23, 2025 @ 16:44:55.712","9.0.1","-",4672
"May 23, 2025 @ 16:41:59.261","9.0.1","-",4672
"May 23, 2025 @ 16:41:59.261","9.0.1","-",4672
"May 23, 2025 @ 16:41:40.000","9.0.1","-",4672
"May 23, 2025 @ 16:39:48.997","9.0.1","-",4672
"May 23, 2025 @ 16:39:35.401","9.0.1","-",4672
"May 23, 2025 @ 16:39:35.401","9.0.1","-",4672
"May 23, 2025 @ 16:38:58.611","9.0.1","-",4672
"May 23, 2025 @ 16:38:58.611","9.0.1","-",4672
"May 23, 2025 @ 16:36:55.924","9.0.1","-",4672
"May 23, 2025 @ 16:36:55.924","9.0.1","-",4672
"May 23, 2025 @ 16:36:42.837","9.0.1","-",4672
"May 23, 2025 @ 16:35:52.751","9.0.1","-",4672
"May 23, 2025 @ 16:26:19.772","9.0.1","-",4672
"May 23, 2025 @ 16:19:57.424","9.0.1","-",4672
"May 23, 2025 @ 16:06:28.108","9.0.1","-",4672
"May 23, 2025 @ 16:03:24.689","9.0.1","-",4672
"May 23, 2025 @ 15:58:25.362","9.0.1","-",4672
"May 23, 2025 @ 15:47:53.602","9.0.1","-",4672
"May 23, 2025 @ 15:47:53.602","9.0.1","-",4672
"May 23, 2025 @ 15:47:46.341","9.0.1","-",4672
