"@timestamp","event.code","process.command_line"
"May 28, 2025 @ 14:45:37.872","-","-"
"May 28, 2025 @ 14:45:37.871","-","-"
"May 28, 2025 @ 14:45:37.869","-","-"
"May 28, 2025 @ 14:45:37.867","-","-"
"May 28, 2025 @ 14:45:37.865","-","-"
"May 28, 2025 @ 14:45:37.863","-","-"
"May 28, 2025 @ 14:45:37.860","-","-"
"May 28, 2025 @ 14:45:37.858","-","-"
"May 28, 2025 @ 14:45:37.855","-","-"
"May 28, 2025 @ 14:45:37.853","-","-"
"May 28, 2025 @ 14:45:37.851","-","-"
"May 28, 2025 @ 14:45:37.849","-","-"
"May 28, 2025 @ 14:45:37.846","-","-"
"May 28, 2025 @ 14:45:37.844","-","-"
"May 28, 2025 @ 14:45:37.842","-","-"
"May 28, 2025 @ 14:45:37.838","-",powershell
"May 28, 2025 @ 14:39:49.768","-","-"
"May 28, 2025 @ 14:39:49.767","-","-"
"May 28, 2025 @ 14:39:49.762","-","-"
"May 28, 2025 @ 14:39:49.760","-","-"
"May 28, 2025 @ 14:39:48.335","-","-"
"May 28, 2025 @ 14:39:47.747","-","-"
"May 28, 2025 @ 14:39:47.745","-","-"
"May 28, 2025 @ 14:39:47.638","-","-"
"May 28, 2025 @ 14:39:47.624","-","-"
"May 28, 2025 @ 14:39:47.559","-","-"
"May 28, 2025 @ 14:39:47.516","-","-"
"May 28, 2025 @ 14:39:46.675","-","-"
"May 28, 2025 @ 14:39:46.664","-","-"
"May 28, 2025 @ 14:39:46.630","-","-"
"May 28, 2025 @ 14:39:46.520","-","-"
"May 28, 2025 @ 14:39:46.039","-",powershell
"May 28, 2025 @ 14:28:57.125",3,"-"
"May 28, 2025 @ 12:09:55.906","-","-"
"May 28, 2025 @ 12:09:55.905","-","-"
"May 28, 2025 @ 12:09:55.904","-","-"
"May 28, 2025 @ 12:09:55.903","-","-"
"May 28, 2025 @ 12:09:54.635","-","-"
"May 28, 2025 @ 12:09:54.466","-","-"
"May 28, 2025 @ 12:09:54.460","-","-"
"May 28, 2025 @ 12:09:54.390","-","-"
"May 28, 2025 @ 12:09:54.388","-","-"
"May 28, 2025 @ 12:09:54.312","-","-"
"May 28, 2025 @ 12:09:54.281","-","-"
"May 28, 2025 @ 12:09:54.152","-","-"
"May 28, 2025 @ 12:09:54.146","-","-"
"May 28, 2025 @ 12:09:54.114","-","-"
"May 28, 2025 @ 12:09:53.919","-","-"
"May 28, 2025 @ 12:09:53.701","-",powershell
"May 28, 2025 @ 12:02:24.659","-","-"
"May 28, 2025 @ 12:02:24.085","-","-"
"May 28, 2025 @ 12:02:22.037","-","-"
"May 28, 2025 @ 12:02:22.032","-","-"
"May 28, 2025 @ 12:02:22.029","-","-"
"May 28, 2025 @ 12:02:22.026","-","-"
"May 28, 2025 @ 12:01:53.341","-","-"
"May 28, 2025 @ 12:01:53.111","-","-"
"May 28, 2025 @ 12:01:53.090","-","-"
"May 28, 2025 @ 12:01:52.943","-","-"
"May 28, 2025 @ 12:01:52.939","-","-"
"May 28, 2025 @ 12:01:52.868","-","-"
"May 28, 2025 @ 12:01:52.810","-","-"
"May 28, 2025 @ 12:01:52.351","-","-"
"May 28, 2025 @ 12:01:52.339","-","-"
"May 28, 2025 @ 12:01:52.191","-","-"
"May 28, 2025 @ 12:01:51.686","-","-"
"May 28, 2025 @ 12:01:51.245","-",powershell
"May 28, 2025 @ 10:53:30.225","-","-"
"May 28, 2025 @ 10:53:29.692","-","-"
"May 28, 2025 @ 10:53:29.684",3,"-"
"May 28, 2025 @ 10:52:34.858","-","-"
"May 28, 2025 @ 10:52:34.856","-","-"
"May 28, 2025 @ 10:52:34.854","-","-"
"May 28, 2025 @ 10:52:34.852","-","-"
"May 28, 2025 @ 10:52:30.160","-","-"
"May 28, 2025 @ 10:52:29.592","-","-"
"May 28, 2025 @ 10:52:29.564","-","-"
"May 28, 2025 @ 10:52:28.969","-","-"
"May 28, 2025 @ 10:52:28.962","-","-"
"May 28, 2025 @ 10:52:28.907","-","-"
"May 28, 2025 @ 10:52:27.918","-","-"
"May 28, 2025 @ 10:52:27.186","-","-"
"May 28, 2025 @ 10:52:27.159","-","-"
"May 28, 2025 @ 10:52:26.945","-","-"
"May 28, 2025 @ 10:52:26.631","-","-"
"May 28, 2025 @ 10:52:24.459","-",powershell
